상권_코드_명,자치구명,상권_구분_코드_명,최다업종,직장인수_평균,상주인구_평균,개업률_평균,폐업률_평균,월매출_평균,엑스좌표_값,와이좌표_값,영역_면적,행정동,위도,경도
NH농협은행 상도동지점,동작구,골목상권,호프-간이주점,277.1210762331838,2382.270142180095,1.8857142857142857,2.6530612244897958,255162659.1174089,194245,444648,68956,상도4동,37.5012784070823,126.93491581693598
Sh수협은행 오금동금융센터(아랫말어린이공원),송파구,골목상권,한식음식점,371.4736842105263,538.5555555555555,2.2222222222222223,1.7142857142857142,96742286.61904761,212170,445014,27617,오금동,37.504513831140805,127.13763832029571
team204(팀204),중구,전통시장,슈퍼마켓,20.0,2.25,2.5,2.5,74040983.0,201168,452028,4222,신당동,37.567789457999865,127.01322082902271
가락시장,송파구,발달상권,호프-간이주점,5966.379146919431,,1.0,0.9230769230769231,31077896983.748936,209881,443794,615953,가락1동,37.49354890241443,127.11173422450942
가락시장역,송파구,발달상권,화장품,10217.033846153847,2404.855987055016,3.005586592178771,3.3645251396648046,942551754.8845619,210499,443922,165196,가락본동,37.494695372813744,127.11872437303792
가로수길,강남구,발달상권,화초,6666.6614173228345,3314.5789473684213,3.120525059665871,3.0572792362768495,2923391957.3033175,201996,446810,256688,신사동,37.52077389382864,127.0225789449648
가리봉시장,구로구,전통시장,호프-간이주점,19.0,176.58125,2.232804232804233,2.4074074074074074,283171960.00526315,190201,442473,20139,가리봉동,37.48164748209712,126.88921060762578
가리봉파출소,구로구,골목상권,한식음식점,241.16923076923078,2559.276422764228,2.2797202797202796,1.6223776223776223,85222769.67832167,190534,442240,71977,가리봉동,37.479551604922634,126.89297855818604
가산동우체국,금천구,골목상권,화초,157.97321428571428,2840.4835680751175,3.179591836734694,2.853061224489796,297306552.87096775,190558,442071,85219,가산동,37.47802914720058,126.8932520648618
가산동주민센터,금천구,골목상권,호프-간이주점,94.47826086956522,1557.1363636363637,3.345,2.885,752590332.12,190311,442041,39903,가산동,37.47775628898691,126.89045996878538
가산디지털단지,금천구,발달상권,화초,83954.46966292134,3448.21377672209,3.4969450101832993,2.3869653767820775,14467994082.252024,189641,441969,1713620,가산동,37.47710029831843,126.88288623812605
가산디지털단지역 1번 출입구,금천구,골목상권,호프-간이주점,289.1384615384615,828.5901639344262,2.958904109589041,3.4657534246575343,264768089.04109588,189704,442648,42837,가산동,37.48321884165624,126.88358899345991
가산초등학교(세일중학교),금천구,골목상권,호프-간이주점,385.32945736434107,2706.726530612245,3.335689045936396,4.219081272084805,268387286.8415493,190933,441835,134081,독산1동,37.475906522035814,126.89749458115419
가양역 10번,강서구,골목상권,화장품,195.22641509433961,620.436,4.11340206185567,2.718213058419244,525898361.0952381,187021,451363,29342,등촌3동,37.56170718526108,126.853100050414
가오리역 1번,강북구,골목상권,한식음식점,693.395061728395,1723.2434210526317,2.454054054054054,2.5945945945945947,183779574.87567568,201573,460422,47879,수유2동,37.643417950047436,127.01782314180417
가오리역 2번,강북구,골목상권,호프-간이주점,146.03508771929825,2891.6168224299067,3.238095238095238,2.5634920634920637,140804588.7222222,201343,459984,75348,인수동,37.63947200306674,127.01521628317677
가인초등학교,도봉구,골목상권,한식음식점,365.1034482758621,974.65,3.567741935483871,3.1548387096774193,290257626.96153843,203661,462129,53197,창5동,37.65879177963506,127.04149012943236
가좌역 2번,마포구,골목상권,한식음식점,341.8936170212766,3226.931818181818,3.0445859872611467,2.3184713375796178,110157178.08280255,192127,452064,83965,성산2동,37.568080922063466,126.91088357719615
가좌역 3번,서대문구,골목상권,화장품,339.94736842105266,139.88888888888889,2.3452380952380953,3.8214285714285716,61828066.47619048,192369,452344,27096,남가좌1동,37.570605742584526,126.91361991841781
간데메공원,동대문구,골목상권,화초,412.12587412587413,3451.5661764705883,2.347266881028939,2.395498392282958,216467504.9070513,204495,452665,122554,답십리1동,37.573518572379605,127.05088371301225
갈산공원,양천구,골목상권,한식음식점,132.79166666666666,167.56521739130434,2.230769230769231,1.2692307692307692,557680294.6923077,188487,445288,156540,신정7동,37.50699100309612,126.86978780742024
갈현건영아파트,은평구,골목상권,한식음식점,330.2439024390244,6078.873417721519,2.465909090909091,2.522727272727273,77456309.52808988,192582,458461,155714,갈현1동,37.625721048855574,126.9159690380799
강남 마이스 관광특구,강남구,관광특구,화초,16486.92910447761,24.899209486166008,1.6733668341708543,1.912897822445561,7588553838.277128,205282,445736,237892,삼성1동,37.51108416413466,127.05974276727348
강남개포시장,강남구,전통시장,화장품,309.4061224489796,88.7170626349892,2.77818853974122,2.421441774491682,438439809.1767956,205978,443274,25364,개포2동,37.48889716485464,127.06759496436574
강남골목시장,관악구,전통시장,호프-간이주점,159.11290322580646,389.7457627118644,2.626865671641791,1.6119402985074627,1129068896.5,191590,442605,14823,조원동,37.482850494037365,126.9049133821319
강남구보훈회관,강남구,골목상권,화초,166.825,833.7297297297297,2.3333333333333335,2.3444444444444446,111044116.05494505,204400,446173,19865,삼성2동,37.515026175047964,127.04976940660319
"강남구청(청담역_8번, 강남세무서)",강남구,발달상권,화초,8740.834813499112,1330.625468164794,2.7479806138933762,2.4458804523424877,1288298912.9244373,204377,446586,134148,청담동,37.51874742762321,127.04951170686684
강남구청역,강남구,발달상권,화초,8029.096256684492,1469.8045325779037,2.912938331318017,2.535671100362757,1185314551.5655837,203597,446308,173252,논현2동,37.51624600772093,127.04068715258765
강남구청역 2번,강남구,골목상권,한식음식점,1020.28,559.125,3.462962962962963,2.7962962962962963,358265001.4814815,203552,446131,43750,논현2동,37.514651405696064,127.04017728415381
강남구청역 4번,강남구,골목상권,한의원,1414.4803149606298,2335.2118644067796,3.825174825174825,2.195804195804196,206027741.3611111,203850,446594,66136,청담동,37.518821856356446,127.04355043686776
강남세브란스병원미래의학연구센터,강남구,골목상권,한식음식점,2509.3,1984.578947368421,1.7045454545454546,2.340909090909091,114891289.79545455,203759,443901,46603,역삼2동,37.49455817070105,127.04250730304766
강남시장(강남구 강남시장),강남구,전통시장,한식음식점,59.095238095238095,274.1666666666667,4.9855072463768115,3.101449275362319,412061372.65217394,201828,446589,3961,신사동,37.51878302511837,127.02067796334785
강남시장(동작구 강남시장),동작구,전통시장,한식음식점,20.0,112.37037037037037,3.6,3.033333333333333,180271622.66666666,195879,444165,2889,상도1동,37.49693528398814,126.95339767295978
강남언주로,강남구,전통시장,호프-간이주점,248.47761194029852,432.20472440944883,3.4615384615384617,3.5314685314685317,666470912.4178082,203794,445045,22922,역삼1동,37.504865535317485,127.04290898565141
강남역,서초구,발달상권,화초,73510.05082872928,6191.762237762237,2.9538615847542626,2.842527582748245,7238561339.215569,202454,444235,617547,서초2동,37.497571920870165,127.02775129423334
강남을지병원,강남구,발달상권,화초,11888.81055480379,2419.7585714285715,2.792638036809816,2.4012269938650306,1092098425.9877899,202498,446725,295195,압구정동,37.520006819268275,127.02825732811267
강동구립 천호도서관,강동구,골목상권,호프-간이주점,361.5111111111111,6040.052325581395,3.923076923076923,3.9846153846153847,198446508.95939085,211691,448962,150522,천호3동,37.54009151114284,127.13228380422073
강동구립성내도서관,강동구,골목상권,화장품,743.1276595744681,9463.996254681648,2.9356913183279745,2.504823151125402,268719752.69745225,211931,448063,203966,성내3동,37.531988464913475,127.13498479934741
강동구청(강동구청역 2번),강동구,골목상권,한식음식점,128.13333333333333,1037.8095238095239,6.2,5.6,75439935.76,211002,447924,19565,성내1동,37.5307476217246,127.12447223310747
강동구청역,강동구,발달상권,화초,4942.2307692307695,3721.7363636363634,2.880184331797235,2.866359447004608,586598292.4770643,210844,447756,205710,성내1동,37.52923581309821,127.12268220880003
강동성심병원,강동구,골목상권,호프-간이주점,1544.142857142857,365.61538461538464,2.442622950819672,2.1639344262295084,1160210125.140625,211962,448499,19646,길동,37.53591641659651,127.13534262472469
강동역 4번(강풀만화거리),강동구,골목상권,화초,814.0,11418.977272727272,3.1392,2.9664,423094150.0832,211519,448272,282300,성내2동,37.533876788109865,127.13032680682069
강변역(테크노마트),광진구,발달상권,화장품,3271.877450980392,4.328151986183074,1.717455621301775,2.3254437869822486,2594851896.460177,208364,448372,127108,구의3동,37.534811785832595,127.09463209799448
강북구청,강북구,골목상권,화장품,1959.0,1826.5694444444443,5.012121212121212,2.915151515151515,220483035.80120483,202105,460127,63938,수유3동,37.64075898169978,127.02385020735761
강북문화예술회관,강북구,골목상권,호프-간이주점,353.70175438596493,4065.5652173913045,2.8489583333333335,2.5520833333333335,167789037.74093264,201295,460283,122433,인수동,37.64216601575762,127.01467296968984
강북문화정보도서관,강북구,골목상권,미용실,47.77777777777778,2370.9411764705883,0.0,0.0,1789192.8,203187,458642,40504,번2동,37.6273762328044,127.03610307823747
강북북부골목시장,강북구,전통시장,한식음식점,36.677083333333336,1054.5274725274726,1.4245283018867925,2.4622641509433962,64250988.60747664,202637,459570,30294,번1동,37.635739123584685,127.0298758979746
강북북부시장,강북구,전통시장,한식음식점,8.0,,2.116279069767442,2.302325581395349,358982902.9767442,202680,459624,4209,번1동,37.63622553122472,127.03036326449622
강북종합전통시장(강북종합골목시장),강북구,전통시장,화장품,172.33673469387756,2187.3848238482383,4.041095890410959,4.19406392694064,347114054.07972664,202329,460268,74901,수유3동,37.64202882933862,127.02638863579223
강북중학교,강북구,골목상권,화장품,186.11290322580646,2845.2937853107346,2.9705882352941178,3.161764705882353,211524579.92647058,202506,460397,82483,수유3동,37.643190633332985,127.0283945689594
강서고등학교,양천구,골목상권,화장품,193.0,6375.855,4.251082251082251,3.9783549783549783,159930007.92640692,188103,448419,123264,목4동,37.535196458603345,126.86539410373967
강서구다솔마을,강서구,골목상권,화장품,659.4903846153846,2342.939393939394,3.411504424778761,3.172566371681416,802464622.0837004,183982,450681,127210,공항동,37.555514608627334,126.81871882923258
강서구청,강서구,발달상권,화초,2228.7041420118344,5574.929797191888,3.9490616621983916,4.053619302949062,710521858.5769745,186817,450350,224516,화곡6동,37.55257721737214,126.85080932634085
강서구청가양동별관,강서구,골목상권,한식음식점,265.45454545454544,163.2258064516129,3.220183486238532,1.3669724770642202,244095314.47272727,187645,451282,10388,가양3동,37.56098595628063,126.86016400106026
강서구청옆,강서구,골목상권,호프-간이주점,111.6376811594203,570.8307692307692,3.168831168831169,5.103896103896104,236064995.36363637,186927,450211,22736,화곡6동,37.551326400425985,126.85205665693027
강서농산물도매시장,강서구,발달상권,한식음식점,515.1121495327103,81.52941176470588,1.7394957983193278,2.2857142857142856,18701588676.57143,184207,450391,402585,발산1동,37.552905609780034,126.82127145971705
강서새말어린이공원,강서구,골목상권,한식음식점,152.1951219512195,1459.7631578947369,2.8297872340425534,3.893617021276596,144333314.0425532,186545,450313,38920,화곡6동,37.55223991977548,126.84773181802537
강일동주민센터,강동구,골목상권,화장품,115.9027027027027,860.9688385269122,3.7468982630272953,4.01985111662531,298064556.1280788,215352,451742,29486,강일동,37.565085473474284,127.17376605352426
개나리아파트,강남구,발달상권,화초,5221.421585160202,4076.8920353982303,2.6589147286821704,2.337984496124031,604287228.047546,203905,444200,148412,역삼2동,37.49725157451181,127.04415987749276
개롱역,송파구,발달상권,화장품,1598.715,3654.5767195767194,2.65015015015015,2.714714714714715,706423914.9085457,211903,444074,107416,가락2동,37.49604787721762,127.13460345002983
개미어린이공원,송파구,골목상권,한식음식점,36.535714285714285,2238.185185185185,3.8666666666666667,3.033333333333333,79328943.46666667,213176,443573,42008,거여2동,37.491516567954285,127.14898998707609
개봉1동주민센터,구로구,골목상권,화장품,529.6034482758621,5666.114285714286,3.4279279279279278,3.364864864864865,310452559.41610736,186895,444572,191612,고척2동,37.50051860479138,126.8517950693802
개봉3동주민센터,구로구,골목상권,편의점,224.97142857142856,2847.990099009901,4.348214285714286,3.705357142857143,133716121.94642857,187085,442783,81457,개봉3동,37.484402313249085,126.85397516427814
개봉동 현대아파트,구로구,발달상권,화장품,486.5242566510172,3734.319536423841,2.449929478138223,2.918194640338505,470782432.3647887,187258,443281,150870,개봉3동,37.4888917210359,126.85592258479969
개봉역,구로구,골목상권,화장품,321.0,1990.5015873015873,3.439775910364146,3.495798319327731,484755866.81284916,187529,443979,119182,개봉1동,37.495184430322844,126.85897502647666
개봉중앙시장,구로구,전통시장,화장품,156.46055979643765,3064.722371967655,2.7477064220183487,3.123853211009174,449561752.30365294,187149,443562,79713,개봉2동,37.49142203486424,126.85468518986029
개봉중학교,구로구,골목상권,화장품,386.3333333333333,3029.259842519685,2.1228668941979523,3.061433447098976,211382466.98979592,186250,444792,78095,개봉1동,37.50249143401964,126.84449665369102
개봉초등학교,구로구,골목상권,호프-간이주점,326.10791366906477,2359.3053435114502,3.198675496688742,2.642384105960265,82440262.49342105,187521,443242,91947,개봉3동,37.48854391817313,126.85889705315547
개봉프라자(고척근린시장),구로구,전통시장,일반의류,6.555555555555555,145.0,2.3,0.55,121406585.75,186837,444739,2954,고척2동,37.50202245488335,126.85113616002786
개웅초등학교(개웅중학교),구로구,골목상권,호프-간이주점,270.1023622047244,6718.466666666666,1.574468085106383,2.1134751773049647,90843555.0070922,187021,443233,131201,개봉3동,37.48845594025623,126.85324361249401
개포고등학교,강남구,골목상권,한의원,490.7415730337079,1781.4375,3.5051020408163267,2.576530612244898,263906981.91414142,205433,442662,61589,개포2동,37.48338636262938,127.06142798105036
개포지구대옆,강남구,골목상권,한식음식점,660.5490196078431,2618.1958762886597,3.267857142857143,1.6875,139916526.0,204236,442346,85828,개포4동,37.4805454368145,127.04789233962612
개화산역 1번,강서구,골목상권,화장품,30.38938053097345,427.80555555555554,3.4098360655737703,3.8852459016393444,245286993.72357723,183234,452598,21731,방화2동,37.57277331235714,126.81020968720401
거여역,송파구,발달상권,화장품,1267.7339805825243,1892.8809034907597,2.9771929824561405,3.2070175438596493,795143920.1986063,212871,443719,94954,거여2동,37.49283633341059,127.1455437075945
거여역 1번(거여공원),송파구,골목상권,화장품,868.421052631579,5685.1446153846155,2.4880636604774535,2.753315649867374,314429849.8105263,212696,444196,146365,거여1동,37.49713654406891,127.14357306164347
거여초등학교,송파구,골목상권,호프-간이주점,340.07894736842104,2436.6164383561645,3.1097560975609757,1.7439024390243902,104146010.14634146,212430,444869,57097,오금동,37.50320391428926,127.14057636913041
건대입구역 1번,광진구,골목상권,호프-간이주점,218.8095238095238,3028.635714285714,3.591194968553459,2.452830188679245,301487684.6335404,205871,449295,67458,화양동,37.54314724564189,127.06643315762537
건대입구역 6번,광진구,골목상권,화장품,463.27792915531336,5197.273775216138,3.0569306930693068,2.6485148514851486,376305501.3602941,205807,448790,179746,자양4동,37.538597604470354,127.06570497470408
건대입구역(건대),광진구,발달상권,화초,1041.4257425742574,4446.39092495637,3.16191904047976,3.2758620689655173,2192595137.9554896,206135,449004,275082,화양동,37.54052361998077,127.0694180102895
경기고교사거리(경기고교앞사거리),강남구,발달상권,화장품,5014.214046822743,214.09187279151942,2.316265060240964,2.4096385542168677,575423633.6546546,205005,446809,71695,청담동,37.52075347208421,127.05661702641068
경기대학교,서대문구,골목상권,한식음식점,155.3235294117647,1643.516129032258,4.05,2.5,38389615.425,196485,451629,71787,충현동,37.56418852067717,126.9602149175942
경동고등학교,성북구,골목상권,화장품,648.6170212765958,6528.316964285715,2.3715415019762847,1.3399209486166008,157524819.04263565,201254,454294,167263,삼선동,37.588205872807336,127.01419815660745
경동광성상가(경동시장),동대문구,전통시장,한식음식점,34.0703125,75.92561983471074,2.24822695035461,2.8652482269503547,7165824160.528169,203445,453527,20976,제기동,37.58128966613406,127.03900169348186
경동시장,동대문구,전통시장,화초,132.12,5.048192771084337,3.145077720207254,2.22279792746114,6158105061.119171,203454,453277,21323,제기동,37.57903714829214,127.03910240665606
경리단길남측,용산구,골목상권,화초,578.1114754098361,2679.19723183391,3.5945945945945947,3.12012012012012,326627109.0922619,199260,448806,181830,이태원2동,37.53875974659307,126.99162703817964
경리단길북측,용산구,골목상권,화초,345.8173374613003,3756.5245901639346,3.134453781512605,3.1820728291316525,323206151.9638889,199236,449136,225725,이태원2동,37.54173302689627,126.9913551393898
경문고등학교(동작동성당),동작구,골목상권,화초,476.6779661016949,3593.964285714286,3.3076923076923075,2.2153846153846155,76047797.33846153,198202,443594,115412,사당2동,37.49179797650655,126.9796687098256
경복고등학교,종로구,골목상권,한식음식점,193.6078431372549,929.1632653061224,3.3684210526315788,2.9298245614035086,127000683.87719299,197484,453952,63411,청운효자동,37.58512189400342,126.97151428391328
경복아파트교차로,강남구,발달상권,화초,3775.5864661654136,719.2519685039371,3.290657439446367,3.0449826989619377,776319646.4290657,203449,445392,112742,역삼1동,37.50799337531318,127.03900876827589
경성고등학교,마포구,골목상권,화초,2425.7859531772574,8224.007067137809,3.542682926829268,3.231707317073171,591365043.4285715,192565,451651,321532,성산1동,37.564363450925,126.91584558806812
경수초등학교,성동구,골목상권,화장품,4790.809836065574,2593.281786941581,3.692537313432836,2.319402985074627,833696968.2149254,205299,449009,260628,성수2가1동,37.540573851759774,127.05995864535373
경신고등학교,종로구,골목상권,화초,493.2,1541.4436090225563,3.2012987012987013,2.2662337662337664,157053924.85714287,199921,454166,60182,혜화동,37.587053452651496,126.99910555256606
경의선책거리,마포구,골목상권,화초,1760.338747099768,1841.3496332518337,3.937238493723849,3.1736401673640167,553907373.6513569,193685,450750,156743,서교동,37.55625383061659,126.92853025842084
경의중앙 신촌역,서대문구,골목상권,호프-간이주점,113.09352517985612,1529.4,2.261146496815287,2.573248407643312,406767869.6878981,194757,450919,60585,신촌동,37.557783235879384,126.94066135843539
경찰병원역,송파구,발달상권,화초,9932.62481962482,3763.439024390244,3.160737812911726,3.1989459815546772,671608657.9699346,210683,444197,198351,가락본동,37.49717102650773,127.12080906154488
경찰병원역 3번,송파구,골목상권,한식음식점,667.1951219512196,3091.1772151898736,3.9318181818181817,2.25,104410122.14772727,211131,443863,59147,가락2동,37.494156381623775,127.12587022274428
경찰병원역 4번(건너말공원),송파구,골목상권,한식음식점,239.30434782608697,1568.5454545454545,4.428571428571429,2.675324675324675,107568532.7012987,210919,443695,34910,가락본동,37.492645223029825,127.12347042338958
경찰청앞교차로,중구,발달상권,호프-간이주점,6157.137931034483,298.6880733944954,3.4140625,4.2578125,433001503.9296875,197338,451460,90827,소공동,37.56266869565678,126.96987034457037
경창시장,양천구,전통시장,화장품,109.28965517241379,810.1304347826087,2.8553459119496853,3.29874213836478,306460174.7264151,186037,447238,31087,신월2동,37.524526713829125,126.84204133356633
경춘선숲길 우측,노원구,골목상권,화장품,242.41534988713317,3459.5885167464116,3.165991902834008,3.661943319838057,456099329.92741936,206924,458484,100071,공릉2동,37.625932128128525,127.07843516211
경향신문사,중구,골목상권,한식음식점,1347.6990291262136,13.16326530612245,2.9649122807017543,1.7543859649122806,470443638.59130436,197253,451928,36893,소공동,37.56688510789925,126.96890652578769
경희대삼거리,동대문구,골목상권,화초,92.87577639751552,2576.065573770492,3.9635854341736696,3.9019607843137254,212152928.91666666,204533,454605,88816,회기동,37.59099765389255,127.0513258738915
경희대학교(경희대),동대문구,발달상권,화장품,115.63259668508287,681.4723032069971,3.2474747474747474,3.664141414141414,866140650.055,204632,454773,48567,회기동,37.592510827212735,127.0524478846258
경희대후문,동대문구,골목상권,한식음식점,86.0,2603.084745762712,2.352517985611511,2.3741007194244603,385837531.0928571,204987,455329,79862,이문1동,37.597518483440886,127.056471314137
계남근린공원,양천구,골목상권,한식음식점,124.18181818181819,2984.548387096774,1.4305555555555556,0.9166666666666666,80471513.4520548,186751,446350,70654,신정3동,37.51653636130315,126.85013454972928
계상초등학교,노원구,골목상권,화장품,151.5157894736842,3638.145251396648,3.1303317535545023,2.6943127962085307,122182332.63207547,206006,462411,104277,상계5동,37.661320204941866,127.06806833085822
고대앞사거리,동대문구,골목상권,한식음식점,195.6315789473684,2289.4,3.0080645161290325,2.2661290322580645,274794547.266129,203021,453940,101416,제기동,37.58501225661796,127.03420318826822
고덕 골목형상점가,강동구,전통시장,화장품,907.3535353535353,696.4764397905759,6.454976303317536,2.345971563981043,908556716.75,215010,450928,29082,고덕2동,37.557757026392,127.1698783903421
고덕동성당,강동구,골목상권,한식음식점,130.59574468085106,2116.8805970149256,2.496774193548387,1.7161290322580645,339447126.3483871,215015,451172,71669,고덕2동,37.559955368246186,127.16993997135829
고덕역,강동구,발달상권,화장품,1359.336192109777,1080.8036036036035,2.9086614173228345,2.8031496062992125,1588169257.3286386,213696,450444,92407,명일2동,37.553416674247536,127.15499797751727
고덕중학교(고덕2동주민센터),강동구,골목상권,호프-간이주점,194.10778443113773,2612.8375,4.666666666666667,3.2333333333333334,150870059.42857143,214375,451335,63497,고덕2동,37.56143419088499,127.16269966363117
고려대역 4번,동대문구,골목상권,한식음식점,53.11764705882353,1372.6,3.189189189189189,1.7702702702702702,342675864.68,203326,454482,67780,제기동,37.58989458516888,127.03765879988195
고려대역 6번,동대문구,골목상권,한식음식점,59.213903743315505,1140.741573033708,3.8292682926829267,3.5658536585365854,309616830.702439,203181,454240,79173,제기동,37.58771469603436,127.03601597985491
고분다리전통시장,강동구,전통시장,호프-간이주점,9.125874125874127,785.325925925926,3.1823899371069184,2.792452830188679,161680102.63522014,211771,449208,20499,천호3동,37.542306947230635,127.13319294571787
고속터미널(고속터미널역),서초구,발달상권,화초,6958.7213114754095,299.09027777777777,2.1119293078055965,2.2945508100147274,1213585987.5308824,200465,445065,320815,반포4동,37.50505341252054,127.00525902182616
고척골목시장상점가(그라운드 고척),구로구,전통시장,한의원,42.0958904109589,274.4782608695652,2.053719008264463,2.2355371900826446,408036721.8518519,187952,444881,17693,고척1동,37.503317096793424,126.86374363001968
고척근린시장,구로구,전통시장,화장품,47.989583333333336,584.1538461538462,2.4683544303797467,1.8734177215189873,572686485.1698114,186721,444751,29145,고척2동,37.50212891474886,126.84982407297842
고척동성당,구로구,골목상권,호프-간이주점,559.5641025641025,1149.2857142857142,3.1015625,2.265625,523296248.1484375,187600,445118,44097,고척2동,37.505447814423974,126.85975871674793
고척중학교,구로구,골목상권,한식음식점,64.88888888888889,99.3529411764706,0.0,3.9,568236246.8,187951,444448,15243,고척1동,37.499415739190376,126.8637394104501
고척초등학교,구로구,골목상권,호프-간이주점,3089.1875,3410.2190476190476,2.296875,1.8671875,249320573.0859375,187387,444733,131905,고척1동,37.501976069275166,126.85735633995357
고척프라자,구로구,전통시장,한식음식점,3.7735849056603774,28.647058823529413,2.2142857142857144,1.7678571428571428,191889517.78947368,187873,444929,6013,고척1동,37.50374854430546,126.86284939392691
곰달래도서관,강서구,골목상권,화장품,503.0870786516854,5475.958944281525,2.9584415584415584,2.498701298701299,245441637.01030928,186976,447805,205223,화곡2동,37.52964910739219,126.85265383966636
공군호텔,영등포구,골목상권,화장품,2225.7295597484276,4934.282392026578,3.2606232294617565,3.3427762039660056,454831924.5859155,193118,445802,182950,신길1동,37.51166828712483,126.9221596147489
공덕동주민센터,마포구,골목상권,호프-간이주점,277.27131782945736,3014.3471074380163,2.331034482758621,2.7241379310344827,112387063.88965517,196316,449878,76629,공덕동,37.548411398286284,126.95831085477153
공덕래미안3차아파트,마포구,골목상권,한식음식점,14.857142857142858,170.75757575757575,1.9487179487179487,1.3846153846153846,528800950.7948718,195817,449922,7972,아현동,37.548805708899394,126.95266378611491
공덕시장,마포구,전통시장,호프-간이주점,3851.681818181818,8.857142857142858,1.4870466321243523,1.5181347150259068,377216382.17098445,195839,449451,7426,공덕동,37.54456210465348,126.95291541458452
공덕역(공덕오거리),마포구,발달상권,화초,13558.442307692309,2177.78231292517,2.945945945945946,2.777992277992278,1077876672.5057693,195756,449256,192218,도화동,37.54280477812483,126.95197733961056
공릉동 국수거리,노원구,골목상권,화장품,2149.4668435013264,4886.853107344633,3.2291169451073984,2.6610978520286395,441706116.0452381,206455,457940,160554,공릉1동,37.62103417354386,127.07311752729491
공릉동 도깨비시장,노원구,전통시장,화장품,117.13172043010752,1637.7267605633804,2.8839506172839506,2.528395061728395,388560735.7100737,206706,458084,57720,공릉1동,37.62232979846501,127.07596198989835
공릉역,노원구,발달상권,화초,772.3990024937656,1475.971128608924,2.7963800904977374,2.8031674208144794,530539084.9346847,206501,458455,81040,공릉1동,37.62567393004453,127.07364315857275
공릉역 2번,노원구,골목상권,화초,397.9887640449438,4355.282352941176,3.7333333333333334,3.0,67806485.58974358,206692,458322,95309,공릉1동,37.62447424820976,127.07580558296289
공항고등학교,강서구,골목상권,한식음식점,349.5925925925926,1554.8461538461538,4.295454545454546,2.409090909090909,205127867.4431818,183939,452510,67482,방화1동,37.57199300098482,126.81819214306506
